epic,resolution,t,datetime,open,high,low,close,volume
GBPUSD,MINUTE,1744305540000.0,2025-04-10 17:19:00,1.295555,1.295795,1.295375,1.295495,173
GBPUSD,MINUTE,1744305600000.0,2025-04-10 17:20:00,1.295505,1.295755,1.295265,1.2953649999999999,205
GBPUSD,MINUTE,1744305660000.0,2025-04-10 17:21:00,1.295375,1.295385,1.295135,1.2953350000000001,174
GBPUSD,MINUTE,1744305720000.0,2025-04-10 17:22:00,1.295345,1.295985,1.2953350000000001,1.295965,158
GBPUSD,MINUTE,1744305780000.0,2025-04-10 17:23:00,1.2959749999999999,1.296475,1.295935,1.296385,187
GBPUSD,MINUTE,1744305840000.0,2025-04-10 17:24:00,1.296375,1.296475,1.296035,1.296165,144
GBPUSD,MINUTE,1744305900000.0,2025-04-10 17:25:00,1.296175,1.296365,1.296045,1.296065,158
GBPUSD,MINUTE,1744305960000.0,2025-04-10 17:26:00,1.296055,1.296175,1.295735,1.295755,137
GBPUSD,MINUTE,1744306020000.0,2025-04-10 17:27:00,1.295735,1.296045,1.295455,1.295455,161
GBPUSD,MINUTE,1744306080000.0,2025-04-10 17:28:00,1.295465,1.296255,1.295445,1.296165,225
GBPUSD,MINUTE,1744306140000.0,2025-04-10 17:29:00,1.296175,1.296305,1.296035,1.296255,142
GBPUSD,MINUTE,1744306200000.0,2025-04-10 17:30:00,1.296265,1.296465,1.296055,1.296355,208
GBPUSD,MINUTE,1744306260000.0,2025-04-10 17:31:00,1.296345,1.296385,1.295935,1.296185,197
GBPUSD,MINUTE,1744306320000.0,2025-04-10 17:32:00,1.296165,1.296185,1.295765,1.295855,186
GBPUSD,MINUTE,1744306380000.0,2025-04-10 17:33:00,1.295865,1.296105,1.295855,1.296055,197
GBPUSD,MINUTE,1744306440000.0,2025-04-10 17:34:00,1.296065,1.296565,1.296065,1.296425,207
GBPUSD,MINUTE,1744306500000.0,2025-04-10 17:35:00,1.296435,1.296465,1.296155,1.296205,185
GBPUSD,MINUTE,1744306560000.0,2025-04-10 17:36:00,1.296195,1.296385,1.296095,1.296275,156
GBPUSD,MINUTE,1744306620000.0,2025-04-10 17:37:00,1.296285,1.296335,1.296035,1.296145,169
GBPUSD,MINUTE,1744306680000.0,2025-04-10 17:38:00,1.296135,1.296715,1.296025,1.296635,189
GBPUSD,MINUTE,1744306740000.0,2025-04-10 17:39:00,1.296645,1.297045,1.296535,1.296985,201
GBPUSD,MINUTE,1744306800000.0,2025-04-10 17:40:00,1.297005,1.297315,1.296635,1.296725,342
GBPUSD,MINUTE,1744306860000.0,2025-04-10 17:41:00,1.296735,1.297135,1.296565,1.297075,288
GBPUSD,MINUTE,1744306920000.0,2025-04-10 17:42:00,1.297065,1.297755,1.296965,1.297515,315
GBPUSD,MINUTE,1744306980000.0,2025-04-10 17:43:00,1.297525,1.297875,1.297415,1.297705,251
GBPUSD,MINUTE,1744307040000.0,2025-04-10 17:44:00,1.297675,1.297685,1.296575,1.296575,298
GBPUSD,MINUTE,1744307100000.0,2025-04-10 17:45:00,1.296565,1.2969249999999999,1.296365,1.2969249999999999,232
GBPUSD,MINUTE,1744307160000.0,2025-04-10 17:46:00,1.296945,1.297185,1.296725,1.2971650000000001,269
GBPUSD,MINUTE,1744307220000.0,2025-04-10 17:47:00,1.297175,1.297265,1.296715,1.2968250000000001,240
GBPUSD,MINUTE,1744307280000.0,2025-04-10 17:48:00,1.296835,1.297415,1.296775,1.297345,217
GBPUSD,MINUTE,1744307340000.0,2025-04-10 17:49:00,1.297355,1.297625,1.297155,1.2971650000000001,227
GBPUSD,MINUTE,1744307400000.0,2025-04-10 17:50:00,1.297145,1.2971650000000001,1.295655,1.295735,276
